Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,78.07,78.269997,77.010002,77.169998,8487200,37.40723
2014-01-03,77.300003,77.769997,76.940002,76.949997,6545000,37.300587
2014-01-06,76.900002,77.349998,76.010002,76.169998,10585400,36.922492
2014-01-07,76.650002,77.410004,76.470001,77.209999,8162200,37.42662
2014-01-08,77.279999,78.150002,77.190002,78.029999,10178800,37.824105
2014-01-09,78.07,78.099998,76.800003,77.599998,8361200,37.615667
2014-01-10,77.559998,77.989998,76.949997,77.669998,6467000,37.649599
2014-01-13,77.379997,77.389999,74.760002,75.120003,14644800,36.413519
2014-01-14,75.120003,76.360001,74.75,75.459999,18653200,36.578328
2014-01-15,75.540001,76.330002,75.410004,76.190002,8660200,36.932189
2014-01-16,75.82,76.190002,75.129997,75.290001,9072600,36.495924
2014-01-17,75.0,75.459999,74.669998,74.900002,12937400,36.306876
2014-01-21,75.050003,75.07,73.260002,73.650002,18774600,35.700954
2014-01-22,73.949997,74.199997,73.540001,73.599998,13969400,35.676715
2014-01-23,73.480003,73.730003,71.68,73.389999,29936000,35.574921
2014-01-24,74.730003,76.160004,74.110001,74.980003,33049000,36.345656
2014-01-27,75.230003,75.230003,74.019997,74.209999,18207200,35.972406
2014-01-28,74.57,74.800003,73.669998,73.889999,11091600,35.81729
2014-01-29,73.5,73.660004,71.459999,71.559998,15959800,34.68785
2014-01-30,72.279999,72.43,71.309998,71.910004,15179800,34.857511
2014-01-31,70.889999,71.940002,70.870003,71.120003,12256600,34.474567
2014-02-03,71.0,71.510002,68.669998,68.970001,20311000,33.43238
2014-02-04,70.0,71.199997,69.370003,70.650002,20440800,34.376331
2014-02-05,70.089996,70.739998,69.610001,70.489998,10956000,34.298478
2014-02-06,70.660004,72.800003,70.559998,72.360001,13818400,35.208369
2014-02-07,73.610001,74.489998,72.690002,74.040001,14657600,36.025811
2014-02-10,74.309998,75.18,74.309998,74.800003,12944600,36.395607
2014-02-11,74.870003,75.190002,73.790001,74.5,16124000,36.249634
2014-02-12,74.489998,75.059998,73.699997,73.910004,9956600,35.962558
2014-02-13,73.559998,74.690002,73.389999,74.690002,8447800,36.342084
2014-02-14,74.349998,75.089996,74.010002,75.029999,8241000,36.507516
2014-02-18,74.989998,75.0,73.940002,73.970001,10923400,35.991751
2014-02-19,73.839996,74.279999,73.230003,73.32,9770600,35.675478
2014-02-20,73.400002,73.709999,72.480003,73.550003,8552600,35.787392
2014-02-21,73.779999,73.860001,72.519997,72.559998,11288200,35.305682
2014-02-24,72.660004,72.879997,72.019997,72.559998,11933800,35.305682
2014-02-25,72.5,72.660004,70.550003,70.550003,18618400,34.327675
2014-02-26,70.800003,72.220001,69.949997,71.779999,19129200,34.926157
2014-02-27,71.620003,72.239998,71.43,72.190002,11288200,35.125653
2014-02-28,71.540001,71.93,70.5,70.959999,22464800,34.527168
2014-03-03,70.010002,70.730003,70.0,70.470001,12248400,34.288748
2014-03-04,71.43,71.959999,71.050003,71.660004,12226200,34.86777
2014-03-05,71.989998,72.089996,70.879997,71.300003,9715600,34.692604
2014-03-06,71.830002,73.330002,71.769997,72.690002,13762600,35.368939
2014-03-07,72.989998,73.099998,72.209999,73.07,8386000,35.553835
2014-03-10,73.25,73.639999,72.790001,73.559998,8633800,35.792255
2014-03-11,73.989998,75.410004,73.849998,75.029999,18344400,36.507516
2014-03-12,74.550003,75.660004,74.5,75.629997,10394600,36.799459
2014-03-13,75.839996,76.419998,74.029999,74.43,11380800,36.215574
2014-03-14,74.089996,74.889999,74.019997,74.269997,8962600,36.137721
2014-03-17,74.809998,74.989998,73.82,74.18,11019800,36.093931
2014-03-18,74.349998,74.839996,74.050003,74.599998,5997600,36.29829
2014-03-19,75.0,77.330002,74.82,75.910004,24983200,36.935702
2014-03-20,76.290001,77.129997,75.599998,76.959999,13851400,37.446601
2014-03-21,78.209999,78.639999,76.620003,76.709999,18034400,37.324958
2014-03-24,76.900002,77.110001,75.209999,75.769997,10018800,36.867579
2014-03-25,76.440002,76.510002,74.290001,74.610001,10568200,36.303157
2014-03-26,74.93,74.989998,73.519997,73.540001,8371200,35.782525
2014-03-27,73.07,73.959999,72.690002,73.400002,12675600,35.714405
2014-03-28,73.290001,74.059998,73.050003,73.699997,6582800,35.860374
2014-03-31,73.900002,74.400002,73.169998,73.379997,7721800,35.704672
2014-04-01,73.639999,74.980003,73.410004,74.010002,8740800,36.011214
2014-04-02,74.349998,74.370003,73.239998,73.669998,8304400,35.845778
2014-04-03,73.860001,74.339996,72.82,73.089996,7165400,35.563565
2014-04-04,73.550003,73.889999,71.32,71.550003,11708600,34.814247
2014-04-07,71.199997,71.379997,70.050003,70.43,11089800,34.269285
2014-04-08,70.639999,71.690002,70.5,71.480003,10660800,34.780187
2014-04-09,71.629997,72.68,71.199997,72.480003,9055600,35.266759
2014-04-10,72.739998,72.739998,70.169998,70.220001,13375400,34.167105
2014-04-11,69.790001,70.129997,68.68,68.730003,16367200,33.442113
2014-04-14,69.629997,70.040001,68.699997,69.309998,12175400,33.724323
2014-04-15,69.959999,70.099998,67.93,68.889999,15461800,33.519963
2014-04-16,69.650002,70.879997,69.160004,70.790001,11277400,34.444451
2014-04-17,70.57,71.389999,70.139999,70.150002,9245800,34.133045
2014-04-21,70.309998,70.599998,69.849998,70.480003,6095600,34.293615
2014-04-22,70.529999,71.279999,70.330002,71.150002,8862600,34.619617
2014-04-23,71.459999,71.470001,70.220001,70.389999,8881600,34.249821
2014-04-24,71.519997,72.040001,70.110001,71.089996,15577000,34.590421
2014-04-25,72.0,72.25,70.940002,71.449997,18111400,34.765587
2014-04-28,71.889999,72.019997,69.800003,70.93,10733600,34.512571
2014-04-29,71.18,71.449997,70.269997,70.639999,9827200,34.371465
2014-04-30,70.620003,70.760002,70.120003,70.620003,7282400,34.361735
2014-05-01,70.75,71.199997,70.32,71.120003,7918400,34.605021
2014-05-02,71.25,71.529999,70.57,70.599998,8306400,34.352001
2014-05-05,70.5,71.059998,70.18,70.919998,5486400,34.507704
2014-05-06,70.730003,70.830002,69.330002,69.580002,10926800,33.980273
2014-05-07,69.779999,70.0,69.139999,69.739998,10959800,34.058409
2014-05-08,69.599998,70.5,69.339996,69.580002,7531400,33.980273
2014-05-09,69.699997,70.309998,69.519997,70.290001,6623200,34.32701
2014-05-12,70.639999,71.239998,70.400002,71.150002,7227200,34.747003
2014-05-13,70.970001,71.339996,70.900002,71.160004,5803000,34.751887
2014-05-14,71.18,71.199997,70.029999,70.169998,8585000,34.268406
2014-05-15,70.260002,70.330002,69.279999,69.849998,9124600,34.11213
2014-05-16,70.0,71.040001,69.809998,70.940002,9294800,34.644447
2014-05-19,70.559998,71.120003,70.279999,71.019997,6745000,34.683513
2014-05-20,70.760002,70.900002,69.839996,70.230003,8699800,34.29771
2014-05-21,70.709999,70.75,70.07,70.400002,6089200,34.380731
2014-05-22,70.349998,71.769997,70.300003,71.400002,7359600,34.869093
2014-05-23,72.290001,72.510002,71.830002,71.980003,7166400,35.152344
2014-05-27,72.639999,73.779999,72.540001,73.660004,10100400,35.972794
2014-05-28,73.300003,73.57,72.919998,73.269997,8210000,35.782329
